,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000074871.3,1679.91743387661,-14.1786961505971,1.75453190432489,-8.08118456874273,6.4140647046508e-16,1.06745128602341e-13
ENSMUSG00000069303.6,336.963474800312,-2.45267123609322,0.304876343875482,-8.04480664165582,8.63817030921544e-16,1.42087857202513e-13
ENSMUSG00000030172.15,464.6642595812,-1.17456625523839,0.14608356500533,-8.04037233891122,8.95658985581726e-16,1.45632092069415e-13
ENSMUSG00000078793.10,1364.12380445853,-13.8782848169984,1.73050654924244,-8.01978173562757,1.05933229433197e-15,1.70287666313864e-13
ENSMUSG00000022464.14,1211.36967125961,-13.7069557797003,1.71846964580211,-7.97625713854406,1.50837530819929e-15,2.37083078997635e-13
ENSMUSG00000046806.13,359.084409489105,-1.78354347939391,0.225088075294622,-7.92375818692038,2.30437552249409e-15,3.51971014770084e-13
ENSMUSG00000023159.8,851.154287663979,-13.1978051351891,1.66570764373653,-7.9232422236976,2.31396185307633e-15,3.51971014770084e-13
ENSMUSG00000092035.8,3673.74543120136,-7.43868552249397,0.940422183706545,-7.90994263148432,2.57507532270589e-15,3.8752144164891e-13
ENSMUSG00000038481.13,1938.91430251865,-1.30487652383061,0.165482132100698,-7.88530161695387,3.13776702878214e-15,4.6723002514897e-13
ENSMUSG00000048583.16,2199.41740976546,-14.5674254892267,1.84898630890609,-7.87860105781159,3.31066677459336e-15,4.87840543681226e-13
ENSMUSG00000070436.12,825.284948819815,-8.94572008492479,1.14609167016195,-7.80541410239963,5.93064863766004e-15,8.30643125033059e-13
ENSMUSG00000002265.17,1141.66717535561,-13.6214632224991,1.75047661074978,-7.78157396611238,7.16277316748128e-15,9.74274896415291e-13
ENSMUSG00000028649.20,6750.47099394229,-1.08181529521604,0.140522780031522,-7.69850479027934,1.37667574438757e-14,1.8547100076292e-12
ENSMUSG00000004540.7,931.144317598191,-13.3273842579237,1.73304183534054,-7.69016880386203,1.46941027886604e-14,1.9609696042301e-12
ENSMUSG00000004542.15,779.363389408765,-13.0706843663769,1.70341572131361,-7.6732204610025,1.67730836145443e-14,2.19696334084577e-12
ENSMUSG00000034684.12,392.380699813366,-12.0806237155917,1.57686565807937,-7.66116228969431,1.84257840450457e-14,2.39129487248822e-12
ENSMUSG00000020953.17,124.481670344594,-10.424309844053,1.3661106048923,-7.63064850439014,2.33575727185445e-14,3.00378385160483e-12
ENSMUSG00000027386.9,989.636931228032,-13.4152734544864,1.774236529546,-7.56115277252192,3.99512670827522e-14,5.09144706443795e-12
ENSMUSG00000025504.14,549.474708530354,-6.90241816271519,0.913453770316671,-7.55639572249212,4.14391829058948e-14,5.23391679809632e-12
ENSMUSG00000035473.10,421.372581324248,-1.17185265122541,0.155314276884315,-7.54504141366383,4.52143796017854e-14,5.42757722521873e-12
ENSMUSG00000078780.7,1449.23433669676,-1.40764971188926,0.186570488218211,-7.54486802994738,4.5274573206264e-14,5.42757722521873e-12
ENSMUSG00000026185.8,50.1642501304001,-2.77937382601441,0.368282397869218,-7.54685491920091,4.45894821395628e-14,5.42757722521873e-12
ENSMUSG00000038883.3,509.476657686566,-12.4574144138865,1.65085538257185,-7.5460361612531,4.48705509944148e-14,5.42757722521873e-12
ENSMUSG00000027820.12,201.070706007268,-11.11615307214,1.47425389347141,-7.54018905520059,4.69290608040399e-14,5.5786428078483e-12
ENSMUSG00000059273.9,1873.69895610495,-1.47758471940762,0.196468604004679,-7.52071674196065,5.44767609479563e-14,6.42190216974825e-12
ENSMUSG00000053228.12,588.147149800172,-12.6645716908123,1.68443546215281,-7.51858529184976,5.53721178391961e-14,6.47350395829147e-12
ENSMUSG00000022886.5,802.171531158637,-13.1122957096987,1.74882228326337,-7.49778627318872,6.49046136145438e-14,7.46455824545802e-12
ENSMUSG00000027643.9,236.4577817549,-11.3500231627074,1.51825400273383,-7.47570771575122,7.67894607373037e-14,8.76019122249917e-12
ENSMUSG00000037411.10,1059.29291980073,-5.52509760689829,0.73948157326587,-7.47158253382444,7.92360454436394e-14,8.96322271958295e-12
ENSMUSG00000009628.14,345.33341252052,-1.78957843902967,0.239756823039863,-7.46413977437519,8.38455608700251e-14,9.33920711864075e-12
ENSMUSG00000057722.17,1213.0987315962,-7.50238101176076,1.00581124358993,-7.45903474391811,8.7158624530823e-14,9.63238986416424e-12
ENSMUSG00000020091.15,6631.95302960604,-1.29304180699251,0.173463101592196,-7.45427583805341,9.03627686327341e-14,9.90908314014462e-12
ENSMUSG00000078566.8,923.418928304115,-1.12613542593419,0.151499774356698,-7.43324820591988,1.05962798327802e-13,1.15303826549622e-11
ENSMUSG00000001507.16,278.198364951269,-11.5845996142014,1.56215535448414,-7.41577947478019,1.20911544635208e-13,1.29576872000731e-11
ENSMUSG00000055679.5,585.903963539054,-12.6590589138372,1.71582525080085,-7.37782528140829,1.60895916107607e-13,1.67355413916044e-11
ENSMUSG00000011832.15,260.360553155589,-1.0250775625075,0.139412163170792,-7.35285601480618,1.94015902027483e-13,1.98880358701505e-11
ENSMUSG00000052854.15,1036.27867156134,-13.4817340869113,1.83410623789349,-7.35057425157405,1.97357108840159e-13,2.00849903716035e-11
ENSMUSG00000022664.11,3667.51123186212,-1.27387402243525,0.173755034963218,-7.3314365981102,2.27698541796967e-13,2.30073112304278e-11
ENSMUSG00000064080.12,99.7219768309271,-2.54711206600152,0.348374851000202,-7.31141199971419,2.64349626536655e-13,2.61502784404722e-11
ENSMUSG00000073012.2,549.01723710479,-12.5652561108688,1.72011596791405,-7.30488894077673,2.77495849091097e-13,2.72601130641851e-11
ENSMUSG00000020911.14,501.411518410775,-12.4344065086887,1.70393433767732,-7.29746812053708,2.93233176106549e-13,2.86074242014017e-11
ENSMUSG00000057195.13,629.303855395529,-12.7621377195989,1.74967289167971,-7.29401351549032,3.00855237288277e-13,2.91499875799998e-11
ENSMUSG00000037552.17,663.885004347307,-1.28879668557463,0.176979798621835,-7.28216833565561,3.28496806588172e-13,3.13980799053802e-11
ENSMUSG00000051159.16,374.319819221266,-12.0126880564757,1.65139104176904,-7.27428437761611,3.48261654049503e-13,3.30638211958676e-11
ENSMUSG00000001739.14,905.239948632619,-1.04641166422083,0.145701063121402,-7.18190822910419,6.87450629653262e-13,6.355997782402e-11
ENSMUSG00000026211.17,223.804300240426,-11.2707543595347,1.57589500068658,-7.15197037532599,8.55410327030578e-13,7.85755486115231e-11
ENSMUSG00000038502.17,1488.13074528248,-1.31394666577801,0.183811655495904,-7.14833160189501,8.7838918310513e-13,8.01657637690656e-11
ENSMUSG00000070287.3,77.0191871108173,-3.86865364720626,0.542290204928646,-7.13391761836319,9.755173086133e-13,8.84594092797676e-11
ENSMUSG00000001864.13,133.555570292609,-10.5259205437186,1.48167550179874,-7.10406599214213,1.21138966029703e-12,1.06436758599763e-10
ENSMUSG00000032548.14,649.448394913926,-12.8076046167961,1.8053548367238,-7.09423120389908,1.30072519614271e-12,1.13580608794042e-10
ENSMUSG00000024462.17,2802.85682020563,-1.71089669858475,0.241794582496101,-7.0758272618136,1.48559822100929e-12,1.27953069921277e-10
ENSMUSG00000117098.1,1976.77926394121,-5.78158532306701,0.817163397141699,-7.0751888095943,1.49245415926839e-12,1.27953069921277e-10
ENSMUSG00000021347.3,225.261061652571,-11.2799088566035,1.59586741516639,-7.06819924349887,1.56957085468187e-12,1.32161603037677e-10
ENSMUSG00000008136.14,80.8445146807231,-5.20953700042853,0.739304191265613,-7.04654060125149,1.83420623614574e-12,1.53530659269336e-10
ENSMUSG00000005891.7,46.7008627866785,-9.01045928974651,1.28120773401415,-7.03278559013678,2.02450351460178e-12,1.67477349225478e-10
ENSMUSG00000072944.11,329.380334343372,-11.8281832626766,1.68457499163819,-7.02146435830332,2.19554827948867e-12,1.80571081172365e-10
ENSMUSG00000020258.16,92.153597087019,-2.52310976064153,0.35992792954227,-7.01004160430183,2.382472685764e-12,1.93692290878261e-10
ENSMUSG00000068048.8,408.997922797828,-12.1405030421582,1.73182415226291,-7.01024005600953,2.3790957013759e-12,1.93692290878261e-10
ENSMUSG00000002266.17,168.721355581483,-10.8631237951768,1.5548171374184,-6.98675331892328,2.81320233333642e-12,2.26111137541915e-10
ENSMUSG00000035104.14,66.3021839466691,-9.51605163861416,1.37173493728117,-6.93723793131298,3.99840107094816e-12,3.17760570503554e-10
ENSMUSG00000031521.5,218.382998126964,-1.56271101754805,0.225760524267592,-6.92198524351308,4.45357648111804e-12,3.5195694358601e-10
ENSMUSG00000030352.15,379.752438927779,-7.81887986010082,1.1310008457657,-6.913239622564,4.73708758826626e-12,3.72282450131191e-10
ENSMUSG00000062908.12,827.097742638504,-1.57200580940984,0.22796858873501,-6.89571233533906,5.3595552994343e-12,4.14240919971126e-10
ENSMUSG00000025083.18,226.697097617018,-11.289267975184,1.63732251887994,-6.89495676325688,5.38811885159672e-12,4.14240919971126e-10
ENSMUSG00000021782.14,206.255308426258,-6.48104956642848,0.941750242259196,-6.88191972309014,5.90512901335262e-12,4.51534892015601e-10
ENSMUSG00000036944.6,3826.1267893618,-1.38020947893154,0.202069536367109,-6.83036891035396,8.46965435943446e-12,6.27286547479371e-10
ENSMUSG00000028640.11,193.588455855979,-11.0614214287614,1.61940280025427,-6.8305559475534,8.45861823889415e-12,6.27286547479371e-10
ENSMUSG00000069307.6,301.400349256231,-2.2931497680254,0.336018509689777,-6.82447455094812,8.82477157204151e-12,6.4681460444611e-10
ENSMUSG00000061048.8,292.862493378853,-11.6586551244433,1.71234443949915,-6.80859227589361,9.85583642546579e-12,7.14977754228918e-10
ENSMUSG00000051490.3,412.524154228957,-1.87104666825536,0.275009728607989,-6.80356537830863,1.02061140294672e-11,7.36610658473686e-10
ENSMUSG00000006200.3,294.053081494184,-11.664468895985,1.71698809824736,-6.79356421159335,1.09396512499884e-11,7.85544703463635e-10
ENSMUSG00000068536.11,334.30591462947,-11.849550028464,1.74959320327136,-6.77274580531518,1.26360858441358e-11,8.98241559553494e-10
ENSMUSG00000038327.8,131.650406820673,-10.5050271171167,1.55285471414069,-6.76497744538191,1.33329968121606e-11,9.43042864524121e-10
ENSMUSG00000038729.24,281.470041438002,-11.6013775948342,1.71733748484349,-6.75544422527499,1.42398279986825e-11,1.00217217347942e-09
ENSMUSG00000001555.10,30.7851203141687,-8.41069583740801,1.24567185174286,-6.75193537177574,1.45885862692571e-11,1.02163436319263e-09
ENSMUSG00000028591.11,153.997544826529,-10.7313689472969,1.59523136001391,-6.72715520537616,1.73012172019207e-11,1.19972067910966e-09
ENSMUSG00000044393.15,199.116456621244,-11.1020722096263,1.65618027245991,-6.70342014950852,2.03596973125128e-11,1.40491843016003e-09
ENSMUSG00000062028.8,41.9347775184552,-4.13758755055596,0.618125229268584,-6.6937690853549,2.17494530452717e-11,1.49353282902143e-09
ENSMUSG00000017446.14,285.101978017499,-11.6198492577813,1.73924278942067,-6.6809817056374,2.37346859294962e-11,1.61418686133968e-09
ENSMUSG00000052911.9,334.608248916928,-7.92429163801328,1.18837331852445,-6.66818373863568,2.58988425729815e-11,1.74459536684475e-09
ENSMUSG00000045095.16,27.0082867480303,-8.22192399170845,1.23380138142246,-6.66389591996512,2.66662345092531e-11,1.787775134445e-09
ENSMUSG00000033060.16,80.8273778406294,-9.80170451602904,1.47136093299343,-6.66165880596534,2.70754019078582e-11,1.80664450654982e-09
ENSMUSG00000037035.5,207.736198305817,-11.1631969806422,1.6780807704965,-6.65235975342197,2.88430621749121e-11,1.915558486039e-09
ENSMUSG00000021886.7,952.901472881662,-1.61773778036766,0.243373804680985,-6.64713189855497,2.98859201111775e-11,1.97554311164821e-09
ENSMUSG00000064061.13,111.721460252984,-1.34305386422286,0.202368596881181,-6.63667132609227,3.20845969042544e-11,2.09156086547273e-09
ENSMUSG00000036782.13,376.932207701432,-12.0227481077234,1.81756627879652,-6.61475086107127,3.7217801549261e-11,2.41505972805434e-09
ENSMUSG00000031938.15,164.16022396795,-1.56358339239537,0.236664859448318,-6.60674084036044,3.92872903776784e-11,2.53770780677004e-09
ENSMUSG00000023039.17,497.344890138059,-4.99592724845375,0.756657820195674,-6.60262421811988,4.03942552337722e-11,2.59735061153155e-09
ENSMUSG00000040649.15,55.2294696442475,-9.25259807048641,1.40190178529838,-6.60003301766045,4.11066221998087e-11,2.63119582641853e-09
ENSMUSG00000039116.7,229.741243348804,-5.36008189439959,0.813165322895078,-6.59162625788851,4.35034628112982e-11,2.75964118802074e-09
ENSMUSG00000041801.5,34.1485176641751,-8.55785993801607,1.29846203008199,-6.59076641422906,4.37561852491614e-11,2.76295604152656e-09
ENSMUSG00000030605.15,570.570008702359,-6.2057677933111,0.945084813429418,-6.56636071718506,5.15598290818629e-11,3.22728027518599e-09
ENSMUSG00000038580.13,377.034092847311,-12.0230954988672,1.83977135179495,-6.53510311873105,6.35657293930058e-11,3.87657883850351e-09
ENSMUSG00000004951.10,262.509306978361,-11.5008543788068,1.76932521010718,-6.50013593493652,8.02474665299493e-11,4.83055600652197e-09
ENSMUSG00000026365.15,50.4540699430255,-1.85539667840583,0.28547599507409,-6.49930891010399,8.06898223569551e-11,4.8366026570402e-09
ENSMUSG00000025665.16,166.185333904395,-10.8413168215965,1.67096183473309,-6.48806968312848,8.69430695643163e-11,5.1894373926448e-09
ENSMUSG00000040350.16,21.7026194031386,-3.50185378408791,0.539913906833525,-6.48594848135234,8.81752946812998e-11,5.21894442912831e-09
ENSMUSG00000040429.6,91.8368062819609,-1.6950712572942,0.261438845176195,-6.48362432962791,8.95450217284097e-11,5.27793282237535e-09
ENSMUSG00000026043.18,639.654385156885,-8.4625463942048,1.30650742464662,-6.47722793959147,9.34230106574317e-11,5.46099962297533e-09
ENSMUSG00000072770.9,217.839349155863,-1.80916978175199,0.279614918642632,-6.47021908034969,9.78609276920752e-11,5.67352738988564e-09
ENSMUSG00000028517.8,128.746920369644,-5.76776265663648,0.894538636667911,-6.44775129906178,1.13521844966365e-10,6.52796755648046e-09
ENSMUSG00000061186.15,517.530371336658,-1.96701506323506,0.305335213221605,-6.44214940845177,1.17793234135905e-10,6.71896407292951e-09
ENSMUSG00000050714.9,165.812965016974,-1.1368450754264,0.176669311989486,-6.43487577227931,1.23574356244004e-10,7.02041302581397e-09
ENSMUSG00000026208.9,312.591481671646,-11.7526393129559,1.82675767939397,-6.4336060800658,1.24611554993995e-10,7.05102022778021e-09
ENSMUSG00000033453.8,47.7323350523748,-9.04080356252051,1.40996064251418,-6.41209640178277,1.43532022800454e-10,8.05715870847311e-09
